ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
163,z,-0.191047152,1.3061415461,1520,-0.146268337,0.8837289555,0.05,-2.753077639,2.3709833348
164,z,-0.379248786,1.2078641915,1520,-0.31398297,0.7535770588,0.05,-2.748505695,1.9900081236
165,z,-0.205025961,1.2980569796,1520,-0.157948352,0.8745184766,0.05,-2.751198361,2.3411464398
166,z,-0.295866702,1.2480344794,1520,-0.237066128,0.8126374348,0.05,-2.743918672,2.1521852682
167,z,-0.319748008,1.2362263659,1520,-0.258648429,0.7959415322,0.05,-2.744638057,2.1051420415
168,z,-0.129143399,1.3448854823,1520,-0.096025573,0.9235129206,0.05,-2.76717112,2.5088843233
169,z,-0.023480545,1.4202105745,1520,-0.016533143,0.9868112309,0.05,-2.809260387,2.7622992968
170,z,-0.200347821,1.3006162941,1520,-0.154040682,0.8775981077,0.05,-2.751540383,2.3508447412
171,z,-0.158498994,1.3262813509,1520,-0.119506313,0.9048900313,0.05,-2.76003423,2.4430362418
172,z,-0.210286101,1.2948539341,1520,-0.162401408,0.8710113483,0.05,-2.750175645,2.3296034421
173,z,1.5084702437,1.0661622143,1520,1.4148599749,0.1573143774,0.05,-0.582834566,3.599775053
174,z,3.2573565325,0.6176171255,1520,5.2740709383,1.5266471E-7,0.05,2.0458845374,4.4688285276
175,z,-0.410640513,1.1948226663,1520,-0.34368323,0.7311320571,0.05,-2.754316133,1.9330351064
176,z,1.5820169438,1.0929715264,1520,1.4474457071,0.1479783396,0.05,-0.561875026,3.7259089135
177,z,-0.190936467,1.3060469423,1520,-0.146194184,0.8837874824,0.05,-2.752781386,2.3709084526
178,z,-0.189449417,1.3072228357,1520,-0.144925113,0.8847892121,0.05,-2.753600882,2.3747020473
179,z,-0.15702589,1.3268622339,1520,-0.118343778,0.9058109076,0.05,-2.759700543,2.4456487628
180,z,-0.48217327,1.1627513384,1520,-0.414683049,0.6784324602,0.05,-2.76294015,1.7985936088
181,z,1.2730688195,0.9946956021,1520,1.279857694,0.2007904914,0.05,-0.678052378,3.2241900174
182,z,-0.23065396,1.2830281925,1520,-0.179773103,0.8573546619,0.05,-2.747347005,2.2860390852
183,z,1.4049716552,1.0358584852,1520,1.3563355181,0.1751938683,0.05,-0.626891604,3.4368349146
184,z,1.1165417597,0.9627993325,1520,1.1596827314,0.2463601342,0.05,-0.772014079,3.0050975981
185,z,1.345121517,1.0128255783,1520,1.3280880201,0.1843484148,0.05,-0.641562099,3.3318051328
186,z,-0.169679213,1.3188788938,1520,-0.128654127,0.8976483546,0.05,-2.756694338,2.4173359113
187,z,-0.158510825,1.3258909007,1520,-0.119550429,0.9048550885,0.05,-2.759280183,2.4422585323
188,z,-0.228412712,1.2842578414,1520,-0.177855804,0.858859919,0.05,-2.747517745,2.2906923216
189,z,-0.133882516,1.3417003092,1520,-0.099785709,0.9205276128,0.05,-2.765662438,2.4978974059
190,z,1.3914955761,1.0288418717,1520,1.3524873106,0.1764206411,0.05,-0.626604414,3.4095955666
191,z,1.104458122,0.9600796939,1520,1.1503817121,0.2501676371,0.05,-0.778763075,2.9876793189
192,z,1.3131907695,1.0040880542,1520,1.3078442314,0.1911239087,0.05,-0.656353966,3.2827355054
193,z,-0.207814324,1.2959140364,1520,-0.160361196,0.8726178634,0.05,-2.749783286,2.3341546374
194,z,2.9893171316,0.6803630243,1520,4.393708983,0.0000119152,0.05,1.6547674301,4.3238668331
195,z,-0.129562803,1.3444202231,1520,-0.096370763,0.9232388159,0.05,-2.766677906,2.507552301
196,z,-0.207839203,1.2964627551,1520,-0.160312514,0.8726562032,0.05,-2.750884491,2.3352060844
197,z,1.2248440944,0.9825632647,1520,1.2465803866,0.2127434655,0.05,-0.702479209,3.1521673979
198,z,-0.114718496,1.3543749011,1520,-0.084702172,0.9325093232,0.05,-2.771359959,2.5419229664
199,z,-0.316675154,1.2370750828,1520,-0.255987012,0.7979955045,0.05,-2.743229983,2.109879676
200,z,-0.008697806,1.4318559868,1520,-0.006074498,0.9951540789,0.05,-2.817320426,2.7999248139
201,z,1.5779889988,1.0903524381,1520,1.4472283857,0.1480391683,0.05,-0.560765561,3.7167435591
202,z,-0.204198968,1.2984476514,1520,-0.15726392,0.8750577404,0.05,-2.751137681,2.3427397451
203,z,-0.186921573,1.3085141331,1520,-0.142850251,0.8864273823,0.05,-2.753605951,2.3797628049
204,z,-0.160727646,1.3247001941,1520,-0.121331337,0.903444637,0.05,-2.759161402,2.4377061103
205,z,1.3617365678,1.0205385035,1520,1.3343313977,0.1822951305,0.05,-0.640076151,3.3635492862
206,z,-0.154260356,1.3288068908,1520,-0.116089371,0.9075970478,0.05,-2.760749503,2.4522287924
207,z,-0.183812014,1.3105146494,1520,-0.140259412,0.8884736149,0.05,-2.754420457,2.3867964282
208,z,-0.307338418,1.2417285436,1520,-0.247508539,0.8045481114,0.05,-2.743021132,2.1283442954
209,z,0.8032159896,0.9015104842,1520,0.8909668869,0.3730879403,0.05,-0.965120185,2.571552164
210,z,-0.191817132,1.3062711442,1520,-0.146843274,0.8832752003,0.05,-2.754101829,2.3704675654
211,z,-0.141439919,1.337123567,1520,-0.105779243,0.9157714635,0.05,-2.764242442,2.4813626052
212,z,-0.139852675,1.3379282091,1520,-0.104529282,0.9167631223,0.05,-2.764233526,2.4845281747
213,z,-0.223521291,1.2874894481,1520,-0.173610192,0.862194938,0.05,-2.748965204,2.3019226227
214,z,-0.117707371,1.352477177,1520,-0.087030948,0.9306583759,0.05,-2.770626398,2.5352116571
215,z,1.3965314721,1.0297635956,1520,1.3561670641,0.1752474362,0.05,-0.623376504,3.4164394478
216,z,2.5490058234,0.6894742754,1520,3.697028177,0.0002258894,0.05,1.1965841668,3.90142748
217,z,-0.172796123,1.3172732186,1520,-0.131177132,0.895652545,0.05,-2.756661674,2.4110694283
218,z,-0.142061939,1.3365437634,1520,-0.106290525,0.9153658741,0.05,-2.763727163,2.4796032851
219,z,1.5605665655,1.0796505521,1520,1.4454367317,0.1485413848,0.05,-0.557195968,3.678329099
220,z,-0.16292251,1.3234304833,1520,-0.123106209,0.9020392693,0.05,-2.758865696,2.433020675
221,z,-0.030815561,1.4145538184,1520,-0.021784651,0.9826225975,0.05,-2.805499529,2.7438684073
222,z,-0.090445415,1.3709637962,1520,-0.065972139,0.9474086824,0.05,-2.779626425,2.5987355956
223,z,-0.28758523,1.252142889,1520,-0.22967445,0.8183756516,0.05,-2.743695952,2.1685254921
224,z,-0.012063282,1.4291797272,1520,-0.008440704,0.9932664805,0.05,-2.81543635,2.7913097849
225,z,-0.226604983,1.2853824731,1520,-0.176293817,0.8600866035,0.05,-2.74791601,2.2947060445
226,z,-0.101429469,1.363360726,1520,-0.074396649,0.9407045647,0.05,-2.77569686,2.5728379222
227,z,-0.008422427,1.4320760151,1520,-0.005881271,0.9953082237,0.05,-2.817476638,2.8006317843
228,z,-0.003021723,1.4364084001,1520,-0.002103666,0.9983217947,0.05,-2.82057402,2.8145305731
229,z,-0.119689683,1.351108723,1520,-0.08858627,0.9294223895,0.05,-2.769924452,2.5305450871
230,z,-0.002903471,1.4365036205,1520,-0.002021207,0.9983875766,0.05,-2.820642545,2.8148356028
231,z,-0.082022259,1.3768770068,1520,-0.059571232,0.9525049623,0.05,-2.782802185,2.618757667
232,z,-0.00634423,1.4337384677,1520,-0.004424956,0.9964699877,0.05,-2.818659385,2.8059709247
233,z,-0.121071723,1.3503837983,1520,-0.089657268,0.9285713858,0.05,-2.769884534,2.5277410883
234,z,-0.246584693,1.2741764289,1520,-0.193524764,0.8465738704,0.05,-2.745914774,2.2527453886
235,z,-0.108113032,1.3587993421,1520,-0.079565119,0.9365936116,0.05,-2.77343315,2.5572070866
236,z,-0.24039364,1.2780796972,1520,-0.18808971,0.8508314334,0.05,-2.747380083,2.2665928033
237,z,-0.132368716,1.3426692142,1520,-0.098586245,0.9214797907,0.05,-2.76604917,2.5013117385
238,z,-0.016813211,1.4254288322,1520,-0.011795195,0.9905905621,0.05,-2.812828801,2.7792023785
239,z,-0.019006119,1.4237098653,1520,-0.013349714,0.9893505377,0.05,-2.811649911,2.7736376723
240,z,-0.24459601,1.2752448195,1520,-0.191803178,0.8479219999,0.05,-2.746021767,2.2568297475
241,z,1.2488212265,0.9961712164,1520,1.2536210704,0.2101725493,0.05,-0.705194427,3.2028368799
242,z,-0.261508508,1.2664305034,1520,-0.206492585,0.8364338118,0.05,-2.745644756,2.2226277398
243,z,-0.185676465,1.3092492479,1520,-0.141819035,0.8872417422,0.05,-2.753802789,2.3824498598
244,z,0.7731314657,0.8965278644,1520,0.8623618924,0.3886244356,0.05,-0.985431171,2.5316941023
245,z,-0.005035963,1.4347877847,1520,-0.003509901,0.9971999703,0.05,-2.819409381,2.809337454
246,z,2.4291190549,0.8264946617,1520,2.9390620018,0.0033417521,0.05,0.8079283601,4.0503097497
247,z,-0.214580006,1.2925024421,1520,-0.166019034,0.8681640504,0.05,-2.749857038,2.3206970247
248,z,-0.157473342,1.326604416,1520,-0.118704069,0.9055254979,0.05,-2.759642278,2.4446955947
249,z,1.5807538766,1.0846671176,1520,1.4573631401,0.1452227228,0.05,-0.54684878,3.7083565334
250,z,-0.106207375,1.3601643996,1520,-0.078084219,0.9377713375,0.05,-2.774205089,2.5617903389
251,z,-0.148901852,1.3323624261,1520,-0.111757769,0.9110302288,0.05,-2.762365275,2.4645615704
252,z,-0.243933593,1.2758436084,1520,-0.191193961,0.8483991695,0.05,-2.74653389,2.2586667043
253,z,-0.011733466,1.4294415672,1520,-0.008208427,0.9934517739,0.05,-2.815620139,2.7921532072
254,z,2.4802635736,0.8611393465,1520,2.8802116447,0.0040297867,0.05,0.7911164318,4.1694107155
255,z,-0.168620358,1.319805057,1520,-0.127761564,0.8983545684,0.05,-2.757452176,2.4202114595
256,z,-0.155593925,1.3279450276,1520,-0.11716895,0.9067416509,0.05,-2.760392506,2.449204656
257,z,-0.136459433,1.3401161749,1520,-0.10182657,0.9189077659,0.05,-2.765132035,2.4922131682
258,z,-0.004517661,1.4352045265,1520,-0.003147747,0.9974888781,0.05,-2.819708529,2.8106732059
259,z,-0.116850171,1.3529065589,1520,-0.086369727,0.9311838865,0.05,-2.770611442,2.5369111008
260,z,-0.135785345,1.3409033936,1520,-0.101264078,0.9193541869,0.05,-2.766002097,2.4944314062
261,z,1.7398024038,1.1505198791,1520,1.5121880424,0.130693904,0.05,-0.516972151,3.9965769585
262,z,-0.287254155,1.2530847114,1520,-0.229237618,0.818715076,0.05,-2.745212286,2.1707039763
263,z,-0.162298752,1.3235666458,1520,-0.122622274,0.9024224254,0.05,-2.758509024,2.4339115194
