ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
1187,z,-0.160604994,0.8634758916,1520,-0.185998237,0.8524709616,0.05,-1.854335329,1.5331253417
1188,z,-0.064235136,0.9417795717,1520,-0.068206126,0.945630521,0.05,-1.911560169,1.7830898966
1189,z,0.7067473006,0.5860073795,1520,1.2060382263,0.2279904419,0.05,-0.442721359,1.8562159599
1190,z,-0.332159491,0.7461899925,1520,-0.44514064,0.6562815044,0.05,-1.795830496,1.1315115144
1191,z,-0.172898329,0.8540880826,1520,-0.20243618,0.8396028374,0.05,-1.848214234,1.5024175757
1192,z,0.8561176664,0.637409789,1520,1.3431197341,0.1794337112,0.05,-0.394178151,2.1064134839
1193,z,-0.121986756,0.8937591314,1520,-0.136487283,0.8914541512,0.05,-1.875118451,1.6311449392
1194,z,-0.153846413,0.8687401813,1520,-0.177091398,0.8594601923,0.05,-1.857902789,1.5502099628
1195,z,-0.174951974,0.8527129705,1520,-0.205171002,0.8374659963,0.05,-1.847570561,1.4976666126
1196,z,-0.204893241,0.8306380167,1520,-0.246669713,0.8051971564,0.05,-1.834211234,1.4244247518
1197,z,-0.229758713,0.8129727414,1520,-0.282615518,0.7775100622,0.05,-1.82442581,1.3649083851
1198,z,-0.022067572,0.9793880112,1520,-0.022532002,0.9820265424,0.05,-1.943162534,1.8990273894
1199,z,-0.234528712,0.8097610209,1520,-0.28962707,0.7721410559,0.05,-1.822895937,1.3538385127
1200,z,-0.17302749,0.8543720334,1520,-0.202520076,0.8395372679,0.05,-1.848900371,1.5028453922
1201,z,-0.168198607,0.8576709643,1520,-0.19611088,0.8445495953,0.05,-1.850542428,1.514145213
1202,z,-0.228139183,0.8141796309,1520,-0.280207431,0.7793564945,0.05,-1.825173626,1.3688952596
1203,z,-0.279994547,0.7795101044,1520,-0.359192966,0.7195006276,0.05,-1.809023815,1.2490347214
1204,z,-0.126038125,0.8904882975,1520,-0.141538216,0.8874635277,0.05,-1.872753995,1.6206777444
