ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
151,z,-0.001371854,0.9990286131,1520,-0.001373188,0.9989045353,0.05,-1.960992365,1.9582486574
152,z,-0.012229699,0.9914490203,1520,-0.012335177,0.9901598211,0.05,-1.956982643,1.9325232443
153,z,-0.000055136,0.9999608811,1520,-0.000055138,0.999956013,0.05,-1.961504315,1.961394043
154,z,-0.000525006,0.9996278016,1520,-0.000525202,0.9995810186,0.05,-1.961320841,1.9602708288
155,z,-0.003902519,0.9972499416,1520,-0.003913281,0.9968781753,0.05,-1.96003412,1.952229082
156,z,-0.000318894,0.9997739078,1520,-0.000318966,0.9997455435,0.05,-1.96140132,1.9607635317
157,z,-0.003457328,0.9975591407,1520,-0.003465787,0.9972351621,0.05,-1.960195431,1.9532807751
158,z,-0.005383652,0.9962139435,1520,-0.005404112,0.9956888722,0.05,-1.959483116,1.9487158115
159,z,-0.001972835,0.9986055219,1520,-0.00197559,0.9984239675,0.05,-1.960763442,1.9568177718
160,z,-0.011461995,0.9919660832,1520,-0.011554825,0.9907823048,0.05,-1.95722917,1.934305181
161,z,-0.020875527,0.9854978037,1520,-0.021182723,0.9831026768,0.05,-1.953955004,1.9122039512
162,z,-0.009659453,0.9932164218,1520,-0.009725427,0.9922416309,0.05,-1.957879201,1.9385602939
163,z,-0.047082319,0.9677867469,1520,-0.048649477,0.9612050307,0.05,-1.945421101,1.8512564617
164,z,-0.036691714,0.9750379143,1520,-0.037631063,0.9699867819,0.05,-1.949253847,1.8758704203
165,z,-0.002786846,0.9980323494,1520,-0.00279234,0.9977724041,0.05,-1.96045316,1.9548794681
166,z,-0.012271818,0.9914169749,1520,-0.01237806,0.9901256139,0.05,-1.956961904,1.9324182671
167,z,-0.014722409,0.9897505097,1520,-0.014874868,0.9881339619,0.05,-1.956143679,1.9266988622
168,z,-0.013535083,0.9905158989,1520,-0.01366468,0.9890992953,0.05,-1.956457685,1.9293875187
169,z,-0.00115061,0.9991846721,1520,-0.001151549,0.9990813481,0.05,-1.961077235,1.9587760147
170,z,-0.034480055,0.9762234663,1520,-0.035319838,0.9718293424,0.05,-1.949367679,1.8804075701
171,z,-0.008258112,0.9942124057,1520,-0.008306185,0.9933737898,0.05,-1.958431507,1.9419152838
172,z,-0.018217922,0.9873142331,1520,-0.018452,0.985280691,0.05,-1.954860374,1.9184245287
173,z,-0.077622549,0.9482510099,1520,-0.081858651,0.9347698927,0.05,-1.937641476,1.7823963778
174,z,-0.14855854,0.9062232437,1520,-0.163931505,0.8698068595,0.05,-1.926138915,1.629021834
175,z,-0.062118746,0.958763536,1520,-0.064790476,0.948349344,0.05,-1.942758265,1.818520773
176,z,-0.054810089,0.9634297452,1520,-0.056890593,0.9546398255,0.05,-1.944602498,1.8349823202
177,z,-0.039428882,0.9729166598,1520,-0.040526474,0.9676787232,0.05,-1.94783012,1.8689723562
178,z,-0.006850111,0.9951850117,1520,-0.006883253,0.9945089051,0.05,-1.958931298,1.9452310768
179,z,-0.026327663,0.9816982288,1520,-0.026818489,0.9786080268,0.05,-1.951954176,1.8992988501
180,z,-0.0171489,0.9880421307,1520,-0.017356446,0.9861545329,0.05,-1.955219141,1.9209213413
181,z,-0.018154766,0.987329629,1520,-0.018387745,0.9853319418,0.05,-1.954827417,1.9185178848
182,z,-0.005518846,0.9961125993,1520,-0.005540384,0.9955801627,0.05,-1.959419521,1.9483818282
